threshold,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,reject_precision,reject_recall,reject_f1,reject_support,false_accepts,false_rejects
0.0,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.01,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.02,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.03,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.04,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.05,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.06,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.07,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.08,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.09,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.1,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.11,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.12,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.13,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.14,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.15,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.16,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.17,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.18,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.19,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.2,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.21,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.22,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.23,0.9426048565121413,0.9307786615332586,0.9629872725150752,0.9445716606241981,0.9469987592821738,0.9426048565121413,0.9424405829451744,0.9869565217391304,0.8832684824902723,0.9322381930184805,257,30,3
0.24,0.9426048565121413,0.9321113056028291,0.9629872725150752,0.9452613329316709,0.9468549396335103,0.9426048565121413,0.9424415210997229,0.9826839826839827,0.8832684824902723,0.930327868852459,257,30,4
0.25,0.9426048565121413,0.9321113056028291,0.9629872725150752,0.9452613329316709,0.9468549396335103,0.9426048565121413,0.9424415210997229,0.9826839826839827,0.8832684824902723,0.930327868852459,257,30,4
0.26,0.9426048565121413,0.9321113056028291,0.9629872725150752,0.9452613329316709,0.9468549396335103,0.9426048565121413,0.9424415210997229,0.9826839826839827,0.8832684824902723,0.930327868852459,257,30,4
0.27,0.9426048565121413,0.9321113056028291,0.9629872725150752,0.9452613329316709,0.9468549396335103,0.9426048565121413,0.9424415210997229,0.9826839826839827,0.8832684824902723,0.930327868852459,257,30,4
0.28,0.9426048565121413,0.9321113056028291,0.9629872725150752,0.9452613329316709,0.9468549396335103,0.9426048565121413,0.9424415210997229,0.9826839826839827,0.8832684824902723,0.930327868852459,257,30,4
0.29,0.9426048565121413,0.9321113056028291,0.9629872725150752,0.9452613329316709,0.9468549396335103,0.9426048565121413,0.9424415210997229,0.9826839826839827,0.8832684824902723,0.930327868852459,257,30,4
0.3,0.9426048565121413,0.9321113056028291,0.9629872725150752,0.9452613329316709,0.9468549396335103,0.9426048565121413,0.9424415210997229,0.9826839826839827,0.8832684824902723,0.930327868852459,257,30,4
0.31,0.9426048565121413,0.9321113056028291,0.9629872725150752,0.9452613329316709,0.9468549396335103,0.9426048565121413,0.9424415210997229,0.9826839826839827,0.8832684824902723,0.930327868852459,257,30,4
0.32,0.9426048565121413,0.9330020800546612,0.9629872725150752,0.9457701624277138,0.9465396993549583,0.9426048565121413,0.9423881350535842,0.978448275862069,0.8832684824902723,0.9284253578732107,257,30,5
0.33,0.9426048565121413,0.9330020800546612,0.9629872725150752,0.9457701624277138,0.9465396993549583,0.9426048565121413,0.9423881350535842,0.978448275862069,0.8832684824902723,0.9284253578732107,257,30,5
0.34,0.9426048565121413,0.9330020800546612,0.9629872725150752,0.9457701624277138,0.9465396993549583,0.9426048565121413,0.9423881350535842,0.978448275862069,0.8832684824902723,0.9284253578732107,257,30,5
0.35,0.9437086092715232,0.9344494861010018,0.9631725606381065,0.9466069006376836,0.9476362430789294,0.9437086092715232,0.9435518631525556,0.9785407725321889,0.8871595330739299,0.9306122448979591,257,29,5
0.36,0.9426048565121413,0.9341654704168346,0.9616844654000113,0.9457618455675982,0.9463870564026231,0.9426048565121413,0.9424543701648996,0.9743589743589743,0.8871595330739299,0.9287169042769857,257,29,6
0.37,0.9415011037527594,0.9339037686993658,0.960493989209535,0.9450228182501282,0.945151342643456,0.9415011037527594,0.9413170633710051,0.9702127659574468,0.8871595330739299,0.926829268292683,257,29,7
0.38,0.9437086092715232,0.9366046303033913,0.9608645654555976,0.9467212101159717,0.947025645849169,0.9437086092715232,0.9435417270378984,0.9704641350210971,0.8949416342412452,0.9311740890688259,257,27,7
0.39,0.9437086092715232,0.9366046303033913,0.9608645654555976,0.9467212101159717,0.947025645849169,0.9437086092715232,0.9435417270378984,0.9704641350210971,0.8949416342412452,0.9311740890688259,257,27,7
0.4,0.9426048565121413,0.9363427228983467,0.9596740892651215,0.9459656304130236,0.9458061787775638,0.9426048565121413,0.9423906248062803,0.9663865546218487,0.8949416342412452,0.9292929292929293,257,27,8
0.41,0.9415011037527594,0.9361501772608449,0.9581859940270263,0.9451205546831551,0.944659193340922,0.9415011037527594,0.9412985219998002,0.9623430962343096,0.8949416342412452,0.9274193548387096,257,27,9
0.42,0.9415011037527594,0.9361501772608449,0.9581859940270263,0.9451205546831551,0.944659193340922,0.9415011037527594,0.9412985219998002,0.9623430962343096,0.8949416342412452,0.9274193548387096,257,27,9
